,indice,caracterisation,indicatif_present_1s,indicatif_present_1s_audio,indicatif_present_2s,indicatif_present_2s_audio,indicatif_present_3s,indicatif_present_3s_audio,indicatif_present_1p,indicatif_present_1p_audio,indicatif_present_2p,indicatif_present_2p_audio,indicatif_present_3p,indicatif_present_3p_audio,indicatif_passe_compose_1s,indicatif_passe_compose_1s_audio,indicatif_passe_compose_2s,indicatif_passe_compose_2s_audio,indicatif_passe_compose_3s,indicatif_passe_compose_3s_audio,indicatif_passe_compose_1p,indicatif_passe_compose_1p_audio,indicatif_passe_compose_2p,indicatif_passe_compose_2p_audio,indicatif_passe_compose_3p,indicatif_passe_compose_3p_audio,indicatif_imparfait_1s,indicatif_imparfait_1s_audio,indicatif_imparfait_2s,indicatif_imparfait_2s_audio,indicatif_imparfait_3s,indicatif_imparfait_3s_audio,indicatif_imparfait_1p,indicatif_imparfait_1p_audio,indicatif_imparfait_2p,indicatif_imparfait_2p_audio,indicatif_imparfait_3p,indicatif_imparfait_3p_audio,indicatif_plus_que_parfait_1s,indicatif_plus_que_parfait_1s_audio,indicatif_plus_que_parfait_2s,indicatif_plus_que_parfait_2s_audio,indicatif_plus_que_parfait_3s,indicatif_plus_que_parfait_3s_audio,indicatif_plus_que_parfait_1p,indicatif_plus_que_parfait_1p_audio,indicatif_plus_que_parfait_2p,indicatif_plus_que_parfait_2p_audio,indicatif_plus_que_parfait_3p,indicatif_plus_que_parfait_3p_audio,indicatif_passe_simple_1s,indicatif_passe_simple_1s_audio,indicatif_passe_simple_2s,indicatif_passe_simple_2s_audio,indicatif_passe_simple_3s,indicatif_passe_simple_3s_audio,indicatif_passe_simple_1p,indicatif_passe_simple_1p_audio,indicatif_passe_simple_2p,indicatif_passe_simple_2p_audio,indicatif_passe_simple_3p,indicatif_passe_simple_3p_audio,indicatif_passe_anterieur_1s,indicatif_passe_anterieur_1s_audio,indicatif_passe_anterieur_2s,indicatif_passe_anterieur_2s_audio,indicatif_passe_anterieur_3s,indicatif_passe_anterieur_3s_audio,indicatif_passe_anterieur_1p,indicatif_passe_anterieur_1p_audio,indicatif_passe_anterieur_2p,indicatif_passe_anterieur_2p_audio,indicatif_passe_anterieur_3p,indicatif_passe_anterieur_3p_audio,indicatif_futur_simple_1s,indicatif_futur_simple_1s_audio,indicatif_futur_simple_2s,indicatif_futur_simple_2s_audio,indicatif_futur_simple_3s,indicatif_futur_simple_3s_audio,indicatif_futur_simple_1p,indicatif_futur_simple_1p_audio,indicatif_futur_simple_2p,indicatif_futur_simple_2p_audio,indicatif_futur_simple_3p,indicatif_futur_simple_3p_audio,indicatif_futur_anterieur_1s,indicatif_futur_anterieur_1s_audio,indicatif_futur_anterieur_2s,indicatif_futur_anterieur_2s_audio,indicatif_futur_anterieur_3s,indicatif_futur_anterieur_3s_audio,indicatif_futur_anterieur_1p,indicatif_futur_anterieur_1p_audio,indicatif_futur_anterieur_2p,indicatif_futur_anterieur_2p_audio,indicatif_futur_anterieur_3p,indicatif_futur_anterieur_3p_audio,conditionnel_present_1s,conditionnel_present_1s_audio,conditionnel_present_2s,conditionnel_present_2s_audio,conditionnel_present_3s,conditionnel_present_3s_audio,conditionnel_present_1p,conditionnel_present_1p_audio,conditionnel_present_2p,conditionnel_present_2p_audio,conditionnel_present_3p,conditionnel_present_3p_audio,conditionnel_passe_1s,conditionnel_passe_1s_audio,conditionnel_passe_2s,conditionnel_passe_2s_audio,conditionnel_passe_3s,conditionnel_passe_3s_audio,conditionnel_passe_1p,conditionnel_passe_1p_audio,conditionnel_passe_2p,conditionnel_passe_2p_audio,conditionnel_passe_3p,conditionnel_passe_3p_audio,subjonctif_present_1s,subjonctif_present_1s_audio,subjonctif_present_2s,subjonctif_present_2s_audio,subjonctif_present_3s,subjonctif_present_3s_audio,subjonctif_present_1p,subjonctif_present_1p_audio,subjonctif_present_2p,subjonctif_present_2p_audio,subjonctif_present_3p,subjonctif_present_3p_audio,subjonctif_passe_1s,subjonctif_passe_1s_audio,subjonctif_passe_2s,subjonctif_passe_2s_audio,subjonctif_passe_3s,subjonctif_passe_3s_audio,subjonctif_passe_1p,subjonctif_passe_1p_audio,subjonctif_passe_2p,subjonctif_passe_2p_audio,subjonctif_passe_3p,subjonctif_passe_3p_audio,subjonctif_imparfait_1s,subjonctif_imparfait_1s_audio,subjonctif_imparfait_2s,subjonctif_imparfait_2s_audio,subjonctif_imparfait_3s,subjonctif_imparfait_3s_audio,subjonctif_imparfait_1p,subjonctif_imparfait_1p_audio,subjonctif_imparfait_2p,subjonctif_imparfait_2p_audio,subjonctif_imparfait_3p,subjonctif_imparfait_3p_audio,subjonctif_plus_que_parfait_1s,subjonctif_plus_que_parfait_1s_audio,subjonctif_plus_que_parfait_2s,subjonctif_plus_que_parfait_2s_audio,subjonctif_plus_que_parfait_3s,subjonctif_plus_que_parfait_3s_audio,subjonctif_plus_que_parfait_1p,subjonctif_plus_que_parfait_1p_audio,subjonctif_plus_que_parfait_2p,subjonctif_plus_que_parfait_2p_audio,subjonctif_plus_que_parfait_3p,subjonctif_plus_que_parfait_3p_audio,imperatif_present_2s,imperatif_present_2s_audio,imperatif_present_1p,imperatif_present_1p_audio,imperatif_present_2p,imperatif_present_2p_audio,imperatif_passe_2s,imperatif_passe_2s_audio,imperatif_passe_1p,imperatif_passe_1p_audio,imperatif_passe_2p,imperatif_passe_2p_audio,infinitif_present,infinitif_present_audio,infinitif_passe,infinitif_passe_audio,participe_present,participe_present_audio,participe_passe,participe_passe_audio,participe_passe_compose,participe_passe_compose_audio,notes,labels
créer,11,1er groupe,je crée,,tu crées,,il/elle crée,,nous créons,,vous créez,,ils/elles créent,,j’ai créé,,tu as créé,,il/elle a créé,,nous avons créé,,vous avez créé,,ils/elles ont créé,,je créais,,tu créais,,il/elle créait,,nous créions,,vous créiez,,ils/elles créaient,,j’avais créé,,tu avais créé,,il/elle avait créé,,nous avions créé,,vous aviez créé,,ils/elles avaient créé,,je créai,,tu créas,,il/elle créa,,nous créâmes,,vous créâtes,,ils/elles créèrent,,j’eus créé,,tu eus créé,,il/elle eut créé,,nous eûmes créé,,vous eûtes créé,,ils/elles eurent créé,,je créerai,,tu créeras,,il/elle créera,,nous créerons,,vous créerez,,ils/elles créeront,,j’aurai créé,,tu auras créé,,il/elle aura créé,,nous aurons créé,,vous aurez créé,,ils/elles auront créé,,je créerais,,tu créerais,,il/elle créerait,,nous créerions,,vous créeriez,,ils/elles créeraient,,j’aurais créé,,tu aurais créé,,il/elle aurait créé,,nous aurions créé,,vous auriez créé,,ils/elles auraient créé,,que je crée,,que tu crées,,qu’il/elle crée,,que nous créions,,que vous créiez,,qu’ils/elles créent,,que j’aie créé,,que tu aies créé,,qu’il/elle ait créé,,que nous ayons créé,,que vous ayez créé,,qu’ils/elles aient créé,,que je créasse,,que tu créasses,,qu’il/elle créât,,que nous créassions,,que vous créassiez,,qu’ils/elles créassent,,que j’eusse créé,,que tu eusses créé,,qu’il/elle eût créé,,que nous eussions créé,,que vous eussiez créé,,qu’ils/elles eussent créé,,crée,,créons,,créez,,aie créé,,ayons créé,,ayez créé,,créer,,avoir créé,,créant,,"créé(e, s, es)",,ayant créé,,,
naviguer,12,1er groupe verbes en -guer et -quer,je navigue,,tu navigues,,il/elle navigue,,nous naviguons,,vous naviguez,,ils/elles naviguent,,j’ai navigué,,tu as navigué,,il/elle a navigué,,nous avons navigué,,vous avez navigué,,ils/elles ont navigué,,je naviguais,,tu naviguais,,il/elle naviguait,,nous naviguions,,vous naviguiez,,ils/elles naviguaient,,j’avais navigué,,tu avais navigué,,il/elle avait navigué,,nous avions navigué,,vous aviez navigué,,ils/elles avaient navigué,,je naviguai,,tu naviguas,,il/elle navigua,,nous naviguâmes,,vous naviguâtes,,ils/elles naviguèrent,,j’eus navigué,,tu eus navigué,,il/elle eut navigué,,nous eûmes navigué,,vous eûtes navigué,,ils/elles eurent navigué,,je naviguerai,,tu navigueras,,il/elle naviguera,,nous naviguerons,,vous naviguerez,,ils/elles navigueront,,j’aurai navigué,,tu auras navigué,,il/elle aura navigué,,nous aurons navigué,,vous aurez navigué,,ils/elles auront navigué,,je naviguerais,,tu naviguerais,,il/elle naviguerait,,nous naviguerions,,vous navigueriez,,ils/elles navigueraient,,j’aurais navigué,,tu aurais navigué,,il/elle aurait navigué,,nous aurions navigué,,vous auriez navigué,,ils/elles auraient navigué,,que je navigue,,que tu navigues,,qu’il/elle navigue,,que nous naviguions,,que vous naviguiez,,qu’ils/elles naviguent,,que j’aie navigué,,que tu aies navigué,,qu’il/elle ait navigué,,que nous ayons navigué,,que vous ayez navigué,,qu’ils/elles aient navigué,,que je naviguasse,,que tu naviguasses,,qu’il/elle naviguât,,que nous naviguassions,,que vous naviguassiez,,qu’ils/elles naviguassent,,que j’eusse navigué,,que tu eusses navigué,,qu’il/elle eût navigué,,que nous eussions navigué,,que vous eussiez navigué,,qu’ils/elles eussent navigué,,navigue,,naviguons,,naviguez,,aie navigué,,ayons navigué,,ayez navigué,,naviguer,,avoir navigué,,naviguant,,navigué,,ayant navigué,,,
placer,13,1er groupe verbes en -cer,je place,,tu places,,il/elle place,,nous plaçons,,vous placez,,ils/elles placent,,j’ai placé,,tu as placé,,il/elle a placé,,nous avons placé,,vous avez placé,,ils/elles ont placé,,je plaçais,,tu plaçais,,il/elle plaçait,,nous placions,,vous placiez,,ils/elles plaçaient,,j’avais placé,,tu avais placé,,il/elle avait placé,,nous avions placé,,vous aviez placé,,ils/elles avaient placé,,je plaçai,,tu plaças,,il/elle plaça,,nous plaçâmes,,vous plaçâtes,,ils/elles placèrent,,j’eus placé,,tu eus placé,,il/elle eut placé,,nous eûmes placé,,vous eûtes placé,,ils/elles eurent placé,,je placerai,,tu placeras,,il/elle placera,,nous placerons,,vous placerez,,ils/elles placeront,,j’aurai placé,,tu auras placé,,il/elle aura placé,,nous aurons placé,,vous aurez placé,,ils/elles auront placé,,je placerais,,tu placerais,,il/elle placerait,,nous placerions,,vous placeriez,,ils/elles placeraient,,j’aurais placé,,tu aurais placé,,il/elle aurait placé,,nous aurions placé,,vous auriez placé,,ils/elles auraient placé,,que je place,,que tu places,,qu’il/elle place,,que nous placions,,que vous placiez,,qu’ils/elles placent,,que j’aie placé,,que tu aies placé,,qu’il/elle ait placé,,que nous ayons placé,,que vous ayez placé,,qu’ils/elles aient placé,,que je plaçasse,,que tu plaçasses,,qu’il/elle plaçât,,que nous plaçassions,,que vous plaçassiez,,qu’ils/elles plaçassent,,que j’eusse placé,,que tu eusses placé,,qu’il/elle eût placé,,que nous eussions placé,,que vous eussiez placé,,qu’ils/elles eussent placé,,place,,plaçons,,placez,,aie placé,,ayons placé,,ayez placé,,placer,,avoir placé,,plaçant,,"placé(e, s, es)",,ayant placé,,,
manger,14,1er groupe verbes en -ger,je mange,,tu manges,,il/elle mange,,nous mangeons,,vous mangez,,ils/elles mangent,,j’ai mangé,,tu as mangé,,il/elle a mangé,,nous avons mangé,,vous avez mangé,,ils/elles ont mangé,,je mangeais,,tu mangeais,,il/elle mangeait,,nous mangions,,vous mangiez,,ils/elles mangeaient,,j’avais mangé,,tu avais mangé,,il/elle avait mangé,,nous avions mangé,,vous aviez mangé,,ils/elles avaient mangé,,je mangeai,,tu mangeas,,il/elle mangea,,nous mangeâmes,,vous mangeâtes,,ils/elles mangèrent,,j’eus mangé,,tu eus mangé,,il/elle eut mangé,,nous eûmes mangé,,vous eûtes mangé,,ils/elles eurent mangé,,je mangerai,,tu mangeras,,il/elle mangera,,nous mangerons,,vous mangerez,,ils/elles mangeront,,j’aurai mangé,,tu auras mangé,,il/elle aura mangé,,nous aurons mangé,,vous aurez mangé,,ils/elles auront mangé,,je mangerais,,tu mangerais,,il/elle mangerait,,nous mangerions,,vous mangeriez,,ils/elles mangeraient,,j’aurais mangé,,tu aurais mangé,,il/elle aurait mangé,,nous aurions mangé,,vous auriez mangé,,ils/elles auraient mangé,,que je mange,,que tu manges,,qu’il/elle mange,,que nous mangions,,que vous mangiez,,qu’ils/elles mangent,,que j’aie mangé,,que tu aies mangé,,qu’il/elle ait mangé,,que nous ayons mangé,,que vous ayez mangé,,qu’ils/elles aient mangé,,que je mangeasse,,que tu mangeasses,,qu’il/elle mangeât,,que nous mangeassions,,que vous mangeassiez,,qu’ils/elles mangeassent,,que j’eusse mangé,,que tu eusses mangé,,qu’il/elle eût mangé,,que nous eussions mangé,,que vous eussiez mangé,,qu’ils/elles eussent mangé,,mange,,mangeons,,mangez,,aie mangé,,ayons mangé,,ayez mangé,,manger,,avoir mangé,,mangeant,,"mangé(e, s, es)",,ayant mangé,,,
céder,15,1er groupe,je cède,,tu cèdes,,il/elle cède,,nous cédons,,vous cédez,,ils/elles cèdent,,j’ai cédé,,tu as cédé,,il/elle a cédé,,nous avons cédé,,vous avez cédé,,ils/elles ont cédé,,je cédais,,tu cédais,,il/elle cédait,,nous cédions,,vous cédiez,,ils/elles cédaient,,j’avais cédé,,tu avais cédé,,il/elle avait cédé,,nous avions cédé,,vous aviez cédé,,ils/elles avaient cédé,,je cédai,,tu cédas,,il/elle céda,,nous cédâmes,,vous cédâtes,,ils/elles cédèrent,,j’eus cédé,,tu eus cédé,,il/elle eut cédé,,nous eûmes cédé,,vous eûtes cédé,,ils/elles eurent cédé,,je céderai,,tu céderas,,il/elle cédera,,nous céderons,,vous céderez,,ils/elles céderont,,j’aurai cédé,,tu auras cédé,,il/elle aura cédé,,nous aurons cédé,,vous aurez cédé,,ils/elles auront cédé,,je céderais,,tu céderais,,il/elle céderait,,nous céderions,,vous céderiez,,ils/elles céderaient,,j’aurais cédé,,tu aurais cédé,,il/elle aurait cédé,,nous aurions cédé,,vous auriez cédé,,ils/elles auraient cédé,,que je cède,,que tu cèdes,,qu’il/elle cède,,que nous cédions,,que vous cédiez,,qu’ils/elles cèdent,,que j’aie cédé,,que tu aies cédé,,qu’il/elle ait cédé,,que nous ayons cédé,,que vous ayez cédé,,qu’ils/elles aient cédé,,que je cédasse,,que tu cédasses,,qu’il/elle cédât,,que nous cédassions,,que vous cédassiez,,qu’ils/elles cédassent,,que j’eusse cédé,,que tu eusses cédé,,qu’il/elle eût cédé,,que nous eussions cédé,,que vous eussiez cédé,,qu’ils/elles eussent cédé,,cède,,cédons,,cédez,,aie cédé,,ayons cédé,,ayez cédé,,céder,,avoir cédé,,cédant,,"cédé(e, s, es)",,ayant cédé,,,
régner,16,1er groupe verbes en -égner,je règne,,tu règnes,,il/elle règne,,nous régnons,,vous régnez,,ils/elles règnent,,j’ai régné,,tu as régné,,il/elle a régné,,nous avons régné,,vous avez régné,,ils/elles ont régné,,je régnais,,tu régnais,,il/elle régnait,,nous régnions,,vous régniez,,ils/elles régnaient,,j’avais régné,,tu avais régné,,il/elle avait régné,,nous avions régné,,vous aviez régné,,ils/elles avaient régné,,je régnai,,tu régnas,,il/elle régna,,nous régnâmes,,vous régnâtes,,ils/elles régnèrent,,j’eus régné,,tu eus régné,,il/elle eut régné,,nous eûmes régné,,vous eûtes régné,,ils/elles eurent régné,,je régnerai,,tu régneras,,il/elle régnera,,nous régnerons,,vous régnerez,,ils/elles régneront,,j’aurai régné,,tu auras régné,,il/elle aura régné,,nous aurons régné,,vous aurez régné,,ils/elles auront régné,,je régnerais,,tu régnerais,,il/elle régnerait,,nous régnerions,,vous régneriez,,ils/elles régneraient,,j’aurais régné,,tu aurais régné,,il/elle aurait régné,,nous aurions régné,,vous auriez régné,,ils/elles auraient régné,,que je règne,,que tu règnes,,qu’il/elle règne,,que nous régnions,,que vous régniez,,qu’ils/elles règnent,,que j’aie régné,,que tu aies régné,,qu’il/elle ait régné,,que nous ayons régné,,que vous ayez régné,,qu’ils/elles aient régné,,que je régnasse,,que tu régnasses,,qu’il/elle régnât,,que nous régnassions,,que vous régnassiez,,qu’ils/elles régnassent,,que j’eusse régné,,que tu eusses régné,,qu’il/elle eût régné,,que nous eussions régné,,que vous eussiez régné,,qu’ils/elles eussent régné,,règne,,régnons,,régnez,,aie régné,,ayons régné,,ayez régné,,régner,,avoir régné,,régnant,,régné,,ayant régné,,,
léguer,17,1er groupe verbes en -éguer et -équer,je lègue,,tu lègues,,il/elle lègue,,nous léguons,,vous léguez,,ils/elles lèguent,,j’ai légué,,tu as légué,,il/elle a légué,,nous avons légué,,vous avez légué,,ils/elles ont légué,,je léguais,,tu léguais,,il/elle léguait,,nous léguions,,vous léguiez,,ils/elles léguaient,,j’avais légué,,tu avais légué,,il/elle avait légué,,nous avions légué,,vous aviez légué,,ils/elles avaient légué,,je léguai,,tu léguas,,il/elle légua,,nous léguâmes,,vous léguâtes,,ils/elles léguèrent,,j’eus légué,,tu eus légué,,il/elle eut légué,,nous eûmes légué,,vous eûtes légué,,ils/elles eurent légué,,je léguerai,,tu légueras,,il/elle léguera,,nous léguerons,,vous léguerez,,ils/elles légueront,,j’aurai légué,,tu auras légué,,il/elle aura légué,,nous aurons légué,,vous aurez légué,,ils/elles auront légué,,je léguerais,,tu léguerais,,il/elle léguerait,,nous léguerions,,vous légueriez,,ils/elles légueraient,,j’aurais légué,,tu aurais légué,,il/elle aurait légué,,nous aurions légué,,vous auriez légué,,ils/elles auraient légué,,que je lègue,,que tu lègues,,qu’il/elle lègue,,que nous léguions,,que vous léguiez,,qu’ils/elles lèguent,,que j’aie légué,,que tu aies légué,,qu’il/elle ait légué,,que nous ayons légué,,que vous ayez légué,,qu’ils/elles aient légué,,que je léguasse,,que tu léguasses,,qu’il/elle léguât,,que nous léguassions,,que vous léguassiez,,qu’ils/elles léguassent,,que j’eusse légué,,que tu eusses légué,,qu’il/elle eût légué,,que nous eussions légué,,que vous eussiez légué,,qu’ils/elles eussent légué,,lègue,,léguons,,léguez,,aie légué,,ayons légué,,ayez légué,,léguer,,avoir légué,,léguant,,"légué(e, s, es)",,ayant légué,,,
rapiécer,18,1er groupe verbe en -écer,je rapièce,,tu rapièces,,il/elle rapièce,,nous rapiéçons,,vous rapiécez,,ils/elles rapiècent,,j’ai rapiécé,,tu as rapiécé,,il/elle a rapiécé,,nous avons rapiécé,,vous avez rapiécé,,ils/elles ont rapiécé,,je rapiéçais,,tu rapiéçais,,il/elle rapiéçait,,nous rapiécions,,vous rapiéciez,,ils/elles rapiéçaient,,j’avais rapiécé,,tu avais rapiécé,,il/elle avait rapiécé,,nous avions rapiécé,,vous aviez rapiécé,,ils/elles avaient rapiécé,,je rapiéçai,,tu rapiéças,,il/elle rapiéça,,nous rapiéçâmes,,vous rapiéçâtes,,ils/elles rapiécèrent,,j’eus rapiécé,,tu eus rapiécé,,il/elle eut rapiécé,,nous eûmes rapiécé,,vous eûtes rapiécé,,ils/elles eurent rapiécé,,je rapiécerai,,tu rapiéceras,,il/elle rapiécera,,nous rapiécerons,,vous rapiécerez,,ils/elles rapiéceront,,j’aurai rapiécé,,tu auras rapiécé,,il/elle aura rapiécé,,nous aurons rapiécé,,vous aurez rapiécé,,ils/elles auront rapiécé,,je rapiécerais,,tu rapiécerais,,il/elle rapiécerait,,nous rapiécerions,,vous rapiéceriez,,ils/elles rapiéceraient,,j’aurais rapiécé,,tu aurais rapiécé,,il/elle aurait rapiécé,,nous aurions rapiécé,,vous auriez rapiécé,,ils/elles auraient rapiécé,,que je rapièce,,que tu rapièces,,qu’il/elle rapièce,,que nous rapiécions,,que vous rapiéciez,,qu’ils/elles rapiècent,,que j’aie rapiécé,,que tu aies rapiécé,,qu’il/elle ait rapiécé,,que nous ayons rapiécé,,que vous ayez rapiécé,,qu’ils/elles aient rapiécé,,que je rapiéçasse,,que tu rapiéçasses,,qu’il/elle rapiéçât,,que nous rapiéçassions,,que vous rapiéçassiez,,qu’ils/elles rapiéçassent,,que j’eusse rapiécé,,que tu eusses rapiécé,,qu’il/elle eût rapiécé,,que nous eussions rapiécé,,que vous eussiez rapiécé,,qu’ils/elles eussent rapiécé,,rapièce,,rapiéçons,,rapiécez,,aie rapiécé,,ayons rapiécé,,ayez rapiécé,,rapiécer,,avoir rapiécé,,rapiéçant,,"rapiécé(e, s, es)",,ayant rapiécé,,,
protéger,19,1er groupe verbes en -éger,je protège,,tu protèges,,il/elle protège,,nous protégeons,,vous protégez,,ils/elles protègent,,j’ai protégé,,tu as protégé,,il/elle a protégé,,nous avons protégé,,vous avez protégé,,ils/elles ont protégé,,je protégeais,,tu protégeais,,il/elle protégeait,,nous protégions,,vous protégiez,,ils/elles protégeaient,,j’avais protégé,,tu avais protégé,,il/elle avait protégé,,nous avions protégé,,vous aviez protégé,,ils/elles avaient protégé,,je protégeai,,tu protégeas,,il/elle protégea,,nous protégeâmes,,vous protégeâtes,,ils/elles protégèrent,,j’eus protégé,,tu eus protégé,,il/elle eut protégé,,nous eûmes protégé,,vous eûtes protégé,,ils/elles eurent protégé,,je protégerai,,tu protégeras,,il/elle protégera,,nous protégerons,,vous protégerez,,ils/elles protégeront,,j’aurai protégé,,tu auras protégé,,il/elle aura protégé,,nous aurons protégé,,vous aurez protégé,,ils/elles auront protégé,,je protégerais,,tu protégerais,,il/elle protégerait,,nous protégerions,,vous protégeriez,,ils/elles protégeraient,,j’aurais protégé,,tu aurais protégé,,il/elle aurait protégé,,nous aurions protégé,,vous auriez protégé,,ils/elles auraient protégé,,que je protège,,que tu protèges,,qu’il/elle protège,,que nous protégions,,que vous protégiez,,qu’ils/elles protègent,,que j’aie protégé,,que tu aies protégé,,qu’il/elle ait protégé,,que nous ayons protégé,,que vous ayez protégé,,qu’ils/elles aient protégé,,que je protégeasse,,que tu protégeasses,,qu’il/elle protégeât,,que nous protégeassions,,que vous protégeassiez,,qu’ils/elles protégeassent,,que j’eusse protégé,,que tu eusses protégé,,qu’il/elle eût protégé,,que nous eussions protégé,,que vous eussiez protégé,,qu’ils/elles eussent protégé,,protège,,protégeons,,protégez,,aie protégé,,ayons protégé,,ayez protégé,,protéger,,avoir protégé,,protégeant,,"protégé(e, s, es)",,ayant protégé,,,
lever,20,"1er groupe verbes en -ecer, -emer, -ener, -eper, -erer, -eser, -ever, -evrer",je lève,,tu lèves,,il/elle lève,,nous levons,,vous levez,,ils/elles lèvent,,j’ai levé,,tu as levé,,il/elle a levé,,nous avons levé,,vous avez levé,,ils/elles ont levé,,je levais,,tu levais,,il/elle levait,,nous levions,,vous leviez,,ils/elles levaient,,j’avais levé,,tu avais levé,,il/elle avait levé,,nous avions levé,,vous aviez levé,,ils/elles avaient levé,,je levai,,tu levas,,il/elle leva,,nous levâmes,,vous levâtes,,ils/elles levèrent,,j’eus levé,,tu eus levé,,il/elle eut levé,,nous eûmes levé,,vous eûtes levé,,ils/elles eurent levé,,je lèverai,,tu lèveras,,il/elle lèvera,,nous lèverons,,vous lèverez,,ils/elles lèveront,,j’aurai levé,,tu auras levé,,il/elle aura levé,,nous aurons levé,,vous aurez levé,,ils/elles auront levé,,je lèverais,,tu lèverais,,il/elle lèverait,,nous lèverions,,vous lèveriez,,ils/elles lèveraient,,j’aurais levé,,tu aurais levé,,il/elle aurait levé,,nous aurions levé,,vous auriez levé,,ils/elles auraient levé,,que je lève,,que tu lèves,,qu’il/elle lève,,que nous levions,,que vous leviez,,qu’ils/elles lèvent,,que j’aie levé,,que tu aies levé,,qu’il/elle ait levé,,que nous ayons levé,,que vous ayez levé,,qu’ils/elles aient levé,,que je levasse,,que tu levasses,,qu’il/elle levât,,que nous levassions,,que vous levassiez,,qu’ils/elles levassent,,que j’eusse levé,,que tu eusses levé,,qu’il/elle eût levé,,que nous eussions levé,,que vous eussiez levé,,qu’ils/elles eussent levé,,lève,,levons,,levez,,aie levé,,ayons levé,,ayez levé,,lever,,avoir levé,,levant,,"levé(e, s, es)",,ayant levé,,,
peler,21,1er groupe verbes en -eler qui transforment e en è,je pèle,,tu pèles,,il/elle pèle,,nous pelons,,vous pelez,,ils/elles pèlent,,j’ai pelé,,tu as pelé,,il/elle a pelé,,nous avons pelé,,vous avez pelé,,ils/elles ont pelé,,je pelais,,tu pelais,,il/elle pelait,,nous pelions,,vous peliez,,ils/elles pelaient,,j’avais pelé,,tu avais pelé,,il/elle avait pelé,,nous avions pelé,,vous aviez pelé,,ils/elles avaient pelé,,je pelai,,tu pelas,,il/elle pela,,nous pelâmes,,vous pelâtes,,ils/elles pelèrent,,j’eus pelé,,tu eus pelé,,il/elle eut pelé,,nous eûmes pelé,,vous eûtes pelé,,ils/elles eurent pelé,,je pèlerai,,tu pèleras,,il/elle pèlera,,nous pèlerons,,vous pèlerez,,ils/elles pèleront,,j’aurai pelé,,tu auras pelé,,il/elle aura pelé,,nous aurons pelé,,vous aurez pelé,,ils/elles auront pelé,,je pèlerais,,tu pèlerais,,il/elle pèlerait,,nous pèlerions,,vous pèleriez,,ils/elles pèleraient,,j’aurais pelé,,tu aurais pelé,,il/elle aurait pelé,,nous aurions pelé,,vous auriez pelé,,ils/elles auraient pelé,,que je pèle,,que tu pèles,,qu’il/elle pèle,,que nous pelions,,que vous peliez,,qu’ils/elles pèlent,,que j’aie pelé,,que tu aies pelé,,qu’il/elle ait pelé,,que nous ayons pelé,,que vous ayez pelé,,qu’ils/elles aient pelé,,que je pelasse,,que tu pelasses,,qu’il/elle pelât,,que nous pelassions,,que vous pelassiez,,qu’ils/elles pelassent,,que j’eusse pelé,,que tu eusses pelé,,qu’il/elle eût pelé,,que nous eussions pelé,,que vous eussiez pelé,,qu’ils/elles eussent pelé,,pèle,,pelons,,pelez,,aie pelé,,ayons pelé,,ayez pelé,,peler,,avoir pelé,,pelant,,"pelé(e, s, es)",,ayant pelé,,,
appeler,22,1er groupe verbes en -eler qui doublent le l,j’appelle,,tu appelles,,il/elle appelle,,nous appelons,,vous appelez,,ils/elles appellent,,j’ai appelé,,tu as appelé,,il/elle a appelé,,nous avons appelé,,vous avez appelé,,ils/elles ont appelé,,j’appelais,,tu appelais,,il/elle appelait,,nous appelions,,vous appeliez,,ils/elles appelaient,,j’avais appelé,,tu avais appelé,,il/elle avait appelé,,nous avions appelé,,vous aviez appelé,,ils/elles avaient appelé,,j’appelai,,tu appelas,,il/elle appela,,nous appelâmes,,vous appelâtes,,ils/elles appelèrent,,j’eus appelé,,tu eus appelé,,il/elle eut appelé,,nous eûmes appelé,,vous eûtes appelé,,ils/elles eurent appelé,,j’appe erai,,tu appelleras,,il/elle appellera,,nous appellerons,,vous appellerez,,ils/elles appelleront,,j’aurai appelé,,tu auras appelé,,il/elle aura appelé,,nous aurons appelé,,vous aurez appelé,,ils/elles auront appelé,,j’appe erais,,tu appellerais,,il/elle appellerait,,nous appellerions,,vous appelleriez,,ils/elles appelleraient,,j’aurais appelé,,tu aurais appelé,,il/elle aurait appelé,,nous aurions appelé,,vous auriez appelé,,ils/elles auraient appelé,,que j’appelle,,que tu appelles,,qu’il/elle appelle,,que nous appelions,,que vous appeliez,,qu’ils/elles appellent,,que j’aie appelé,,que tu aies appelé,,qu’il/elle ait appelé,,que nous ayons appelé,,que vous ayez appelé,,qu’ils/elles aient appelé,,que j’appelasse,,que tu appelasses,,qu’il/elle appelât,,que nous appelassions,,que vous appelassiez,,qu’ils/elles appelassent,,que j’eusse appelé,,que tu eusses appelé,,qu’il/elle eût appelé,,que nous eussions appelé,,que vous eussiez appelé,,qu’ils/elles eussent appelé,,appelle,,appelons,,appelez,,aie appelé,,ayons appelé,,ayez appelé,,appeler,,avoir appelé,,appelant,,"appelé(e, s, es)",,ayant appelé,,,
